internal_id,heatName,heatDay,heatTime,dorsal,category,name,email,contact
S10016,Men - Heat 3,2025-05-12,08:00,0830-02,Hybrid Men,Name LastName Athlete 16,jose.filipe.chavarria+at16@gmail.com,910000016
S10015,Men - Heat 3,2025-05-12,08:00,0830-01,Hybrid Men,Name LastName Athlete 15,jose.filipe.chavarria+at15@gmail.com,910000015
S10014,Men - Heat 2,2025-05-12,08:00,0815-07,Hybrid Men,Name LastName Athlete 14,jose.filipe.chavarria+at14@gmail.com,910000014
S10013,Men - Heat 2,2025-05-12,08:00,0815-06,Hybrid Men,Name LastName Athlete 13,jose.filipe.chavarria+at13@gmail.com,910000013
S10012,Men - Heat 2,2025-05-12,08:00,0815-05,Hybrid Men,Name LastName Athlete 12,jose.filipe.chavarria+at12@gmail.com,910000012
S10011,Men - Heat 2,2025-05-12,08:00,0815-04,Hybrid Men,Name LastName Athlete 11,jose.filipe.chavarria+at11@gmail.com,910000011
S10010,Men - Heat 2,2025-05-12,08:00,0815-03,Hybrid Men,Name LastName Athlete 10,jose.filipe.chavarria+at10@gmail.com,910000010
S10009,Men - Heat 2,2025-05-12,08:00,0815-02,Hybrid Men,Name LastName Athlete 9,jose.filipe.chavarria+at9@gmail.com,910000009
S10008,Men - Heat 2,2025-05-12,08:00,0815-01,Hybrid Men,Name LastName Athlete 8,jose.filipe.chavarria+at8@gmail.com,910000008
S10007,Men  - Heat 1,2025-05-12,08:15,Hybrid Men,Name LastName Athlete 7,jose.filipe.chavarria+at7@gmail.com,910000007
S10006,Men  - Heat 1,2025-05-12,08:15,Hybrid Men,Name LastName Athlete 6,jose.filipe.chavarria+at6@gmail.com,910000006
S10005,Men  - Heat 1,2025-05-12,08:15,Hybrid Men,Name LastName Athlete 5,jose.filipe.chavarria+at5@gmail.com,910000005
S10004,Men  - Heat 1,2025-05-12,08:15,Hybrid Men,Name LastName Athlete 4,jose.filipe.chavarria+at4@gmail.com,910000004
S10003,Men  - Heat 1,2025-05-12,08:15,Hybrid Men,Name LastName Athlete 3,jose.filipe.chavarria+at3@gmail.com,910000003
S10002,Men  - Heat 1,2025-05-12,08:30,Hybrid Men,Name LastName Athlete 2,jose.filipe.chavarria+at2@gmail.com,910000002
S10001,Men  - Heat 1,2025-05-12,08:30,Hybrid Men,Name LastName Athlete 1,jose.filipe.chavarria+at1@gmail.com,910000001
